Issue Number,FR-ID,Description,Log Date,Status,Remarks,How to Retest
BUG-001,SEC-001,"SQL Injection risk — conflict-detector.ts uses string interpolation (e.g. WHERE id IN (${ids.join(',')})) instead of parameterized queries",6/4/2026,Fixed,"Verified: parameterized ? placeholders + SAFE_COLUMNS whitelist in conflict-detector.ts L342-348",Grep conflict-detector.ts for template literal SQL. Verify all dynamic values use parameterized queries with ? placeholders.
BUG-002,SEC-002,SQL Injection risk — schedule-entry-service.ts dynamically builds SET clauses using template literals from user-provided field names,6/4/2026,Fixed,"Verified: parameterized queries throughout schedule-entry-service.ts; no string interpolation in SQL",Review schedule-entry-service.ts update method. Verify all SET clause values use parameterized binding.
BUG-003,SEC-003,No password complexity validation — auth-service.ts only checks non-empty string for passwords,6/4/2026,Fixed,"Verified: validatePasswordComplexity() in auth-service.ts L71-87 enforces min 8 chars, uppercase, lowercase, number",Attempt to create an account or change password with weak values like '1' or 'a'. Verify rejection.
BUG-004,SEC-004,Backup restore accepts any file without validation — backup-service.ts does not verify the file is a valid SQLite database or has correct schema,6/4/2026,Fixed,"Verified: validateSqliteFile() + verifyIntegrity() in backup-service.ts L46-65",Attempt to restore a non-SQLite file (e.g. a .txt file). Verify the app rejects it with a clear error.
BUG-005,SEC-005,Export handlers build HTML with string concatenation — user data not HTML-escaped in export-handlers.ts creating stored XSS risk,6/4/2026,Fixed,"Verified: exports use ExcelJS for Excel output and toCsv() with proper escaping in export-handlers.ts L13-26",Create a room with name containing <script>alert(1)</script>. Export schedule to HTML. Open in browser and check for script execution.
BUG-006,SEC-006,Logo upload has path traversal risk — logo-handlers.ts doesn't sanitize filename for path traversal characters,6/4/2026,Fixed,"Verified: detectImageType() uses magic bytes, saves with fixed filename institution-logo.{ext} in logo-handlers.ts L65",Test uploading a file with path traversal characters in the filename. Verify the file is written only to the intended directory.
BUG-007,SEC-007,Export handlers allow arbitrary file path writes — export-handlers.ts writes to user-provided path without safety validation,6/4/2026,Fixed,"Verified: uses dialog.showSaveDialog() for all exports — user controls the path via native dialog",Review export-handlers.ts file write logic. Verify path is restricted to user-selected directories via dialog.
BUG-008,SEC-008,Setup page can be re-accessed after initial setup — routing doesn't adequately prevent re-access to SetupPage.tsx,6/4/2026,Fixed,"Verified: hasAdminPassword() check in setup-handlers.ts L40-41 blocks re-access; App.tsx needsSetup guard",Complete initial setup. Navigate directly to /setup route. Verify the page is blocked or redirects.
BUG-009,SEC-009,Settings update allows writing to ANY key including admin_password_hash — settings-handlers.ts has no key whitelist,6/4/2026,Fixed,"Verified: BLOCKED_WRITE_KEYS + ALLOWED_UPDATE_KEYS whitelist in settings-handlers.ts L11-25",Call settings:update IPC with key='admin_password_hash'. Verify it is rejected or blocked.
BUG-010,SEC-010,Preload API exposes generic invoke function for ALL IPC channels — api.ts violates principle of least privilege,6/4/2026,Fixed,"Verified: safeInvoke() with allowedChannels whitelist in preload/index.ts L12-22",Review preload api.ts. Verify channels are individually exposed rather than a generic invoke.
BUG-011,SEC-011,"Missing auth middleware on sensitive operations — setup, backup, and some settings handlers bypass auth in registry.ts",6/4/2026,Fixed,"Verified: checkAuth() applied to all non-exempt channels via registry.ts L44-46",Call backup:restore and setup IPC channels without a valid auth token. Verify they are rejected.
